(-14, 96, -422), [12, 5, 7] 
(1, -1, 6), [1, 12, 6] 
(1, -1, 7), [1, 12, 7] 
(1, -1, 8), [1, 12, 8] 
(1, -1, 9), [1, 12, 9] 
(1, -1, 10), [1, 12, 10] 
(1, -1, 11), [1, 12, 11] 
(1, -1, 12), [1, 12, 12] 
(1, -1, 15), [1, 12, 2] 
(1, -1, 16), [1, 12, 3] 
(1, -1, 17), [1, 12, 4] 
(1, -1, 18), [1, 12, 5] 
(1, -1, 19), [1, 12, 6] 
(1, -1, 20), [1, 12, 7] 
(1, -1, 21), [1, 12, 8] 
(1, -1, 22), [1, 12, 9] 
(1, -1, 23), [1, 12, 10] 
(1, -1, 24), [1, 12, 11] 
(1, -1, 25), [1, 12, 12] 
(1, -1, 27), [1, 12, 1] 
(1, -1, 28), [1, 12, 2] 
(1, -1, 29), [1, 12, 3] 
(1, -1, 30), [1, 12, 4] 
(1, -1, 31), [1, 12, 5] 
(1, -1, 32), [1, 12, 6] 
(1, -1, 33), [1, 12, 7] 
(1, -1, 34), [1, 12, 8] 
(1, -1, 35), [1, 12, 9] 
(1, -1, 36), [1, 12, 10] 
(1, -1, 37), [1, 12, 11] 
(1, -1, 38), [1, 12, 12] 
(1, -1, 41), [1, 12, 2] 
(1, -1, 42), [1, 12, 3] 
(1, -1, 43), [1, 12, 4] 
(1, -1, 44), [1, 12, 5] 
(1, -1, 45), [1, 12, 6] 
(1, -1, 46), [1, 12, 7] 
(1, -1, 47), [1, 12, 8] 
(1, -1, 48), [1, 12, 9] 
(1, -1, 49), [1, 12, 10] 
(1, -1, 50), [1, 12, 11] 
(1, -1, 51), [1, 12, 12] 
(1, -1, 53), [1, 12, 1] 
(1, -1, 54), [1, 12, 2] 
(1, -1, 55), [1, 12, 3] 
(1, -1, 56), [1, 12, 4] 
(1, -1, 57), [1, 12, 5] 
(1, -1, 58), [1, 12, 6] 
(1, -1, 59), [1, 12, 7] 
(1, -1, 60), [1, 12, 8] 
(1, 0, -80), [1, 0, 11] 
(1, 0, -76), [1, 0, 2] 
(1, 0, -74), [1, 0, 4] 
(1, 0, -72), [1, 0, 6] 
(1, 0, -70), [1, 0, 8] 
(1, 0, -68), [1, 0, 10] 
(1, 0, -66), [1, 0, 12] 
(1, 0, -64), [1, 0, 1] 
(1, 0, -62), [1, 0, 3] 
(1, 0, -60), [1, 0, 5] 
(1, 0, -58), [1, 0, 7] 
(1, 0, -56), [1, 0, 9] 
(1, 0, -54), [1, 0, 11] 
(1, 0, -50), [1, 0, 2] 
(1, 0, -46), [1, 0, 6] 
(1, 0, -44), [1, 0, 8] 
(1, 0, -42), [1, 0, 10] 
(1, 0, -40), [1, 0, 12] 
(1, 0, -38), [1, 0, 1] 
(1, 0, -36), [1, 0, 3] 
(1, 0, -34), [1, 0, 5] 
(1, 0, -32), [1, 0, 7] 
(1, 0, -30), [1, 0, 9] 
(1, 0, -24), [1, 0, 2] 
(1, 0, -22), [1, 0, 4] 
(1, 0, -20), [1, 0, 6] 
(1, 0, -18), [1, 0, 8] 
(1, 0, -16), [1, 0, 10] 
(1, 0, -14), [1, 0, 12] 
(1, 0, -12), [1, 0, 1] 
(1, 0, -10), [1, 0, 3] 
(1, 0, -8), [1, 0, 5] 
(1, 0, -6), [1, 0, 7] 
(1, 0, -4), [1, 0, 9] 
(1, 0, -2), [1, 0, 11] 
(1, 0, 2), [1, 0, 2] 
(1, 0, 4), [1, 0, 4] 
(1, 0, 6), [1, 0, 6] 
(1, 0, 10), [1, 0, 10] 
(1, 0, 12), [1, 0, 12] 
(1, 0, 14), [1, 0, 1] 
(1, 0, 16), [1, 0, 3] 
(1, 0, 18), [1, 0, 5] 
(1, 0, 20), [1, 0, 7] 
(1, 0, 22), [1, 0, 9] 
(1, 0, 24), [1, 0, 11] 
(1, 0, 28), [1, 0, 2] 
(1, 0, 30), [1, 0, 4] 
(1, 0, 32), [1, 0, 6] 
(1, 0, 34), [1, 0, 8] 
(1, 0, 36), [1, 0, 10] 
(1, 0, 38), [1, 0, 12] 
(1, 0, 40), [1, 0, 1] 
(1, 0, 42), [1, 0, 3] 
(1, 0, 44), [1, 0, 5] 
(1, 0, 46), [1, 0, 7] 
(1, 0, 48), [1, 0, 9] 
(1, 0, 50), [1, 0, 11] 
(1, 0, 54), [1, 0, 2] 
(1, 0, 56), [1, 0, 4] 
(1, 0, 58), [1, 0, 6] 
(1, 0, 60), [1, 0, 8] 
(1, 0, 62), [1, 0, 10] 
(1, 0, 64), [1, 0, 12] 
(1, 0, 66), [1, 0, 1] 
(1, 1, -77), [1, 1, 1] 
(1, 1, -76), [1, 1, 2] 
(1, 1, -75), [1, 1, 3] 
(1, 1, -74), [1, 1, 4] 
(1, 1, -73), [1, 1, 5] 
(1, 1, -72), [1, 1, 6] 
(1, 1, -71), [1, 1, 7] 
(1, 1, -69), [1, 1, 9] 
(1, 1, -68), [1, 1, 10] 
(1, 1, -67), [1, 1, 11] 
(1, 1, -66), [1, 1, 12] 
(1, 1, -63), [1, 1, 2] 
(1, 1, -62), [1, 1, 3] 
(1, 1, -61), [1, 1, 4] 
(1, 1, -60), [1, 1, 5] 
(1, 1, -59), [1, 1, 6] 
(1, 1, -58), [1, 1, 7] 
(1, 1, -57), [1, 1, 8] 
(1, 1, -56), [1, 1, 9] 
(1, 1, -55), [1, 1, 10] 
(1, 1, -54), [1, 1, 11] 
(1, 1, -53), [1, 1, 12] 
(1, 1, -51), [1, 1, 1] 
(1, 1, -50), [1, 1, 2] 
(1, 1, -49), [1, 1, 3] 
(1, 1, -48), [1, 1, 4] 
(1, 1, -47), [1, 1, 5] 
(1, 1, -45), [1, 1, 7] 
(1, 1, -44), [1, 1, 8] 
(1, 1, -43), [1, 1, 9] 
(1, 1, -42), [1, 1, 10] 
(1, 1, -41), [1, 1, 11] 
(1, 1, -40), [1, 1, 12] 
(1, 1, -38), [1, 1, 1] 
(1, 1, -37), [1, 1, 2] 
(1, 1, -36), [1, 1, 3] 
(1, 1, -35), [1, 1, 4] 
(1, 1, -34), [1, 1, 5] 
(1, 1, -33), [1, 1, 6] 
(1, 1, -32), [1, 1, 7] 
(1, 1, -31), [1, 1, 8] 
(1, 1, -30), [1, 1, 9] 
(1, 1, -29), [1, 1, 10] 
(1, 1, -28), [1, 1, 11] 
(1, 1, -27), [1, 1, 12] 
(1, 1, -25), [1, 1, 1] 
(1, 1, -24), [1, 1, 2] 
(1, 1, -23), [1, 1, 3] 
(1, 1, -21), [1, 1, 5] 
(1, 1, -20), [1, 1, 6] 
(1, 1, -19), [1, 1, 7] 
(1, 1, -18), [1, 1, 8] 
(1, 1, -17), [1, 1, 9] 
(1, 1, -16), [1, 1, 10] 
(1, 1, -15), [1, 1, 11] 
(1, 1, -14), [1, 1, 12] 
(1, 1, -11), [1, 1, 2] 
(1, 1, -10), [1, 1, 3] 
(1, 1, -9), [1, 1, 4] 
(1, 1, -8), [1, 1, 5] 
(1, 1, -7), [1, 1, 6] 
(1, 1, -6), [1, 1, 7] 
(1, 1, -5), [1, 1, 8] 
(1, 1, -4), [1, 1, 9] 
(1, 1, -3), [1, 1, 10] 
(1, 1, -2), [1, 1, 11] 
(1, 1, -1), [1, 1, 12] 
(1, 1, 1), [1, 1, 1] 
(1, 1, 3), [1, 1, 3] 
(1, 1, 4), [1, 1, 4] 
(1, 1, 5), [1, 1, 5] 
(1, 1, 6), [1, 1, 6] 
(1, 1, 7), [1, 1, 7] 
(1, 1, 8), [1, 1, 8] 
(1, 1, 9), [1, 1, 9] 
(1, 1, 10), [1, 1, 10] 
(1, 1, 11), [1, 1, 11] 
(1, 1, 12), [1, 1, 12] 
(1, 1, 14), [1, 1, 1] 
(1, 1, 15), [1, 1, 2] 
(1, 1, 16), [1, 1, 3] 
(1, 1, 17), [1, 1, 4] 
(1, 1, 18), [1, 1, 5] 
(1, 1, 19), [1, 1, 6] 
(1, 1, 20), [1, 1, 7] 
(1, 1, 21), [1, 1, 8] 
(1, 1, 22), [1, 1, 9] 
(1, 1, 23), [1, 1, 10] 
(1, 1, 24), [1, 1, 11] 
(1, 1, 25), [1, 1, 12] 
(1, 1, 27), [1, 1, 1] 
(1, 1, 28), [1, 1, 2] 
(1, 1, 29), [1, 1, 3] 
(1, 1, 30), [1, 1, 4] 
(1, 1, 31), [1, 1, 5] 
(1, 1, 32), [1, 1, 6] 
(1, 1, 33), [1, 1, 7] 
(1, 1, 34), [1, 1, 8] 
(1, 1, 35), [1, 1, 9] 
(1, 1, 36), [1, 1, 10] 
(1, 1, 37), [1, 1, 11] 
(1, 1, 38), [1, 1, 12] 
(1, 1, 40), [1, 1, 1] 
(1, 1, 41), [1, 1, 2] 
(1, 1, 42), [1, 1, 3] 
(1, 1, 43), [1, 1, 4] 
(1, 1, 44), [1, 1, 5] 
(1, 1, 45), [1, 1, 6] 
(1, 1, 46), [1, 1, 7] 
(1, 1, 47), [1, 1, 8] 
(1, 1, 48), [1, 1, 9] 
(1, 1, 49), [1, 1, 10] 
(1, 1, 50), [1, 1, 11] 
(1, 1, 51), [1, 1, 12] 
(1, 1, 53), [1, 1, 1] 
(1, 1, 55), [1, 1, 3] 
(1, 1, 56), [1, 1, 4] 
(1, 1, 57), [1, 1, 5] 
(1, 1, 58), [1, 1, 6] 
(1, 1, 59), [1, 1, 7] 
(1, 1, 60), [1, 1, 8] 
(1, 1, 61), [1, 1, 9] 
(1, 1, 63), [1, 1, 11] 
(1, 1, 64), [1, 1, 12] 
(1, 1, 67), [1, 1, 2] 
(1, 1, 68), [1, 1, 3] 
(1, 1, 69), [1, 1, 4] 
(1, 1, 70), [1, 1, 5] 
(1, 1, 71), [1, 1, 6] 
(1, 1, 72), [1, 1, 7] 
(1, 1, 73), [1, 1, 8] 
(1, 1, 74), [1, 1, 9] 
(1, 2, -72), [1, 2, 6] 
(1, 2, -70), [1, 2, 8] 
(1, 2, -68), [1, 2, 10] 
(1, 2, -66), [1, 2, 12] 
(1, 2, -64), [1, 2, 1] 
(1, 2, -62), [1, 2, 3] 
(1, 2, -60), [1, 2, 5] 
(1, 2, -58), [1, 2, 7] 
(1, 2, -56), [1, 2, 9] 
(1, 2, -54), [1, 2, 11] 
(1, 2, -50), [1, 2, 2] 
(1, 2, -48), [1, 2, 4] 
(1, 2, -46), [1, 2, 6] 
(1, 2, -42), [1, 2, 10] 
(1, 2, -40), [1, 2, 12] 
(1, 2, -38), [1, 2, 1] 
(1, 2, -36), [1, 2, 3] 
(1, 2, -34), [1, 2, 5] 
(1, 2, -32), [1, 2, 7] 
(1, 2, -30), [1, 2, 9] 
(1, 2, -28), [1, 2, 11] 
(1, 2, -24), [1, 2, 2] 
(1, 2, -22), [1, 2, 4] 
(1, 2, -20), [1, 2, 6] 
(1, 2, -18), [1, 2, 8] 
(1, 2, -14), [1, 2, 12] 
(1, 2, -12), [1, 2, 1] 
(1, 2, -10), [1, 2, 3] 
(1, 2, -8), [1, 2, 5] 
(1, 2, -6), [1, 2, 7] 
(1, 2, -2), [1, 2, 11] 
(1, 2, 2), [1, 2, 2] 
(1, 2, 4), [1, 2, 4] 
(1, 2, 6), [1, 2, 6] 
(1, 2, 8), [1, 2, 8] 
(1, 2, 10), [1, 2, 10] 
(1, 2, 12), [1, 2, 12] 
(1, 2, 14), [1, 2, 1] 
(1, 2, 16), [1, 2, 3] 
(1, 2, 18), [1, 2, 5] 
(1, 2, 20), [1, 2, 7] 
(1, 2, 22), [1, 2, 9] 
(1, 2, 24), [1, 2, 11] 
(1, 2, 28), [1, 2, 2] 
(1, 2, 30), [1, 2, 4] 
(1, 2, 32), [1, 2, 6] 
(1, 2, 34), [1, 2, 8] 
(1, 2, 36), [1, 2, 10] 
(1, 2, 38), [1, 2, 12] 
(1, 2, 40), [1, 2, 1] 
(1, 2, 42), [1, 2, 3] 
(1, 2, 44), [1, 2, 5] 
(1, 2, 46), [1, 2, 7] 
(1, 2, 48), [1, 2, 9] 
(1, 2, 50), [1, 2, 11] 
(1, 2, 54), [1, 2, 2] 
(1, 2, 56), [1, 2, 4] 
(1, 2, 58), [1, 2, 6] 
(1, 2, 60), [1, 2, 8] 
(1, 2, 62), [1, 2, 10] 
(1, 2, 64), [1, 2, 12] 
(1, 2, 66), [1, 2, 1] 
(1, 2, 68), [1, 2, 3] 
(1, 2, 70), [1, 2, 5] 
(1, 2, 72), [1, 2, 7] 
(1, 2, 74), [1, 2, 9] 
(1, 2, 76), [1, 2, 11] 
(1, 2, 80), [1, 2, 2] 
(1, 3, -69), [1, 3, 9] 
(1, 3, -68), [1, 3, 10] 
(1, 3, -67), [1, 3, 11] 
(1, 3, -66), [1, 3, 12] 
(1, 3, -63), [1, 3, 2] 
(1, 3, -62), [1, 3, 3] 
(1, 3, -61), [1, 3, 4] 
(1, 3, -60), [1, 3, 5] 
(1, 3, -59), [1, 3, 6] 
(1, 3, -58), [1, 3, 7] 
(1, 3, -57), [1, 3, 8] 
(1, 3, -56), [1, 3, 9] 
(1, 3, -55), [1, 3, 10] 
(1, 3, -53), [1, 3, 12] 
(1, 3, -51), [1, 3, 1] 
(1, 3, -50), [1, 3, 2] 
(1, 3, -49), [1, 3, 3] 
(1, 3, -48), [1, 3, 4] 
(1, 3, -47), [1, 3, 5] 
(1, 3, -46), [1, 3, 6] 
(1, 3, -45), [1, 3, 7] 
(1, 3, -44), [1, 3, 8] 
(1, 3, -43), [1, 3, 9] 
(1, 3, -41), [1, 3, 11] 
(1, 3, -40), [1, 3, 12] 
(1, 3, -38), [1, 3, 1] 
(1, 3, -37), [1, 3, 2] 
(1, 3, -36), [1, 3, 3] 
(1, 3, -35), [1, 3, 4] 
(1, 3, -34), [1, 3, 5] 
(1, 3, -33), [1, 3, 6] 
(1, 3, -32), [1, 3, 7] 
(1, 3, -31), [1, 3, 8] 
(1, 3, -30), [1, 3, 9] 
(1, 3, -29), [1, 3, 10] 
(1, 3, -28), [1, 3, 11] 
(1, 3, -27), [1, 3, 12] 
(1, 3, -25), [1, 3, 1] 
(1, 3, -24), [1, 3, 2] 
(1, 3, -23), [1, 3, 3] 
(1, 3, -22), [1, 3, 4] 
(1, 3, -21), [1, 3, 5] 
(1, 3, -20), [1, 3, 6] 
(1, 3, -19), [1, 3, 7] 
(1, 3, -18), [1, 3, 8] 
(1, 3, -17), [1, 3, 9] 
(1, 3, -16), [1, 3, 10] 
(1, 3, -15), [1, 3, 11] 
(1, 3, -14), [1, 3, 12] 
(1, 3, -12), [1, 3, 1] 
(1, 3, -11), [1, 3, 2] 
(1, 3, -9), [1, 3, 4] 
(1, 3, -8), [1, 3, 5] 
(1, 3, -7), [1, 3, 6] 
(1, 3, -6), [1, 3, 7] 
(1, 3, -5), [1, 3, 8] 
(1, 3, -4), [1, 3, 9] 
(1, 3, -3), [1, 3, 10] 
(1, 3, -2), [1, 3, 11] 
(1, 3, -1), [1, 3, 12] 
(1, 3, 1), [1, 3, 1] 
(1, 3, 2), [1, 3, 2] 
(1, 3, 3), [1, 3, 3] 
(1, 3, 4), [1, 3, 4] 
(1, 3, 5), [1, 3, 5] 
(1, 3, 6), [1, 3, 6] 
(1, 3, 7), [1, 3, 7] 
(1, 3, 8), [1, 3, 8] 
(1, 3, 9), [1, 3, 9] 
(1, 3, 10), [1, 3, 10] 
(1, 3, 11), [1, 3, 11] 
(1, 3, 12), [1, 3, 12] 
(1, 3, 14), [1, 3, 1] 
(1, 3, 15), [1, 3, 2] 
(1, 3, 16), [1, 3, 3] 
(1, 3, 17), [1, 3, 4] 
(1, 3, 18), [1, 3, 5] 
(1, 3, 19), [1, 3, 6] 
(1, 3, 20), [1, 3, 7] 
(1, 3, 21), [1, 3, 8] 
(1, 3, 22), [1, 3, 9] 
(1, 3, 23), [1, 3, 10] 
(1, 3, 24), [1, 3, 11] 
(1, 3, 25), [1, 3, 12] 
(1, 3, 27), [1, 3, 1] 
(1, 3, 28), [1, 3, 2] 
(1, 3, 29), [1, 3, 3] 
(1, 3, 30), [1, 3, 4] 
(1, 3, 31), [1, 3, 5] 
(1, 3, 32), [1, 3, 6] 
(1, 3, 33), [1, 3, 7] 
(1, 3, 34), [1, 3, 8] 
(1, 3, 35), [1, 3, 9] 
(1, 3, 36), [1, 3, 10] 
(1, 3, 37), [1, 3, 11] 
(1, 3, 38), [1, 3, 12] 
(1, 3, 40), [1, 3, 1] 
(1, 3, 41), [1, 3, 2] 
(1, 3, 42), [1, 3, 3] 
(1, 3, 43), [1, 3, 4] 
(1, 3, 44), [1, 3, 5] 
(1, 3, 45), [1, 3, 6] 
(1, 3, 46), [1, 3, 7] 
(1, 3, 47), [1, 3, 8] 
(1, 3, 48), [1, 3, 9] 
(1, 3, 49), [1, 3, 10] 
(1, 3, 50), [1, 3, 11] 
(1, 3, 51), [1, 3, 12] 
(1, 3, 53), [1, 3, 1] 
(1, 3, 54), [1, 3, 2] 
(1, 3, 55), [1, 3, 3] 
(1, 3, 57), [1, 3, 5] 
(1, 3, 58), [1, 3, 6] 
(1, 3, 59), [1, 3, 7] 
(1, 3, 61), [1, 3, 9] 
(1, 3, 62), [1, 3, 10] 
(1, 3, 63), [1, 3, 11] 
(1, 3, 64), [1, 3, 12] 
(1, 3, 66), [1, 3, 1] 
(1, 3, 67), [1, 3, 2] 
(1, 3, 69), [1, 3, 4] 
(1, 3, 70), [1, 3, 5] 
(1, 3, 71), [1, 3, 6] 
(1, 3, 72), [1, 3, 7] 
(1, 3, 73), [1, 3, 8] 
(1, 3, 74), [1, 3, 9] 
(1, 3, 75), [1, 3, 10] 
(1, 3, 76), [1, 3, 11] 
(1, 3, 77), [1, 3, 12] 
(1, 3, 79), [1, 3, 1] 
(1, 3, 80), [1, 3, 2] 
(1, 3, 81), [1, 3, 3] 
(1, 3, 82), [1, 3, 4] 
(1, 3, 83), [1, 3, 5] 
(1, 3, 84), [1, 3, 6] 
(1, 3, 85), [1, 3, 7] 
(1, 3, 87), [1, 3, 9] 
(1, 3, 88), [1, 3, 10] 
(1, 3, 89), [1, 3, 11] 
(1, 4, -64), [1, 4, 1] 
(1, 4, -62), [1, 4, 3] 
(1, 4, -60), [1, 4, 5] 
(1, 4, -58), [1, 4, 7] 
(1, 4, -56), [1, 4, 9] 
(1, 4, -54), [1, 4, 11] 
(1, 4, -50), [1, 4, 2] 
(1, 4, -48), [1, 4, 4] 
(1, 4, -46), [1, 4, 6] 
(1, 4, -44), [1, 4, 8] 
(1, 4, -42), [1, 4, 10] 
(1, 4, -38), [1, 4, 1] 
(1, 4, -36), [1, 4, 3] 
(1, 4, -34), [1, 4, 5] 
(1, 4, -32), [1, 4, 7] 
(1, 4, -30), [1, 4, 9] 
(1, 4, -28), [1, 4, 11] 
(1, 4, -24), [1, 4, 2] 
(1, 4, -22), [1, 4, 4] 
(1, 4, -20), [1, 4, 6] 
(1, 4, -18), [1, 4, 8] 
(1, 4, -14), [1, 4, 12] 
(1, 4, -12), [1, 4, 1] 
(1, 4, -10), [1, 4, 3] 
(1, 4, -8), [1, 4, 5] 
(1, 4, -6), [1, 4, 7] 
(1, 4, -2), [1, 4, 11] 
(1, 4, 2), [1, 4, 2] 
(1, 4, 4), [1, 4, 4] 
(1, 4, 6), [1, 4, 6] 
(1, 4, 8), [1, 4, 8] 
(1, 4, 10), [1, 4, 10] 
(1, 4, 12), [1, 4, 12] 
(1, 4, 14), [1, 4, 1] 
(1, 4, 16), [1, 4, 3] 
(1, 4, 18), [1, 4, 5] 
(1, 4, 20), [1, 4, 7] 
(1, 4, 22), [1, 4, 9] 
(1, 4, 24), [1, 4, 11] 
(1, 4, 28), [1, 4, 2] 
(1, 4, 30), [1, 4, 4] 
(1, 4, 32), [1, 4, 6] 
(1, 4, 34), [1, 4, 8] 
(1, 4, 36), [1, 4, 10] 
(1, 4, 38), [1, 4, 12] 
(1, 4, 40), [1, 4, 1] 
(1, 4, 42), [1, 4, 3] 
(1, 4, 44), [1, 4, 5] 
(1, 4, 46), [1, 4, 7] 
(1, 4, 48), [1, 4, 9] 
(1, 4, 50), [1, 4, 11] 
(1, 4, 54), [1, 4, 2] 
(1, 4, 56), [1, 4, 4] 
(1, 4, 58), [1, 4, 6] 
(1, 4, 60), [1, 4, 8] 
(1, 4, 62), [1, 4, 10] 
(1, 4, 64), [1, 4, 12] 
(1, 4, 66), [1, 4, 1] 
(1, 4, 68), [1, 4, 3] 
(1, 4, 70), [1, 4, 5] 
(1, 4, 72), [1, 4, 7] 
(1, 4, 74), [1, 4, 9] 
(1, 4, 76), [1, 4, 11] 
(1, 4, 80), [1, 4, 2] 
(1, 4, 82), [1, 4, 4] 
(1, 4, 88), [1, 4, 10] 
(1, 4, 90), [1, 4, 12] 
(1, 4, 92), [1, 4, 1] 
(1, 4, 94), [1, 4, 3] 
(1, 5, -61), [1, 5, 4] 
(1, 5, -60), [1, 5, 5] 
(1, 5, -59), [1, 5, 6] 
(1, 5, -57), [1, 5, 8] 
(1, 5, -56), [1, 5, 9] 
(1, 5, -55), [1, 5, 10] 
(1, 5, -54), [1, 5, 11] 
(1, 5, -53), [1, 5, 12] 
(1, 5, -51), [1, 5, 1] 
(1, 5, -50), [1, 5, 2] 
(1, 5, -49), [1, 5, 3] 
(1, 5, -48), [1, 5, 4] 
(1, 5, -47), [1, 5, 5] 
(1, 5, -46), [1, 5, 6] 
(1, 5, -45), [1, 5, 7] 
(1, 5, -43), [1, 5, 9] 
(1, 5, -42), [1, 5, 10] 
(1, 5, -41), [1, 5, 11] 
(1, 5, -40), [1, 5, 12] 
(1, 5, -37), [1, 5, 2] 
(1, 5, -36), [1, 5, 3] 
(1, 5, -35), [1, 5, 4] 
(1, 5, -34), [1, 5, 5] 
(1, 5, -33), [1, 5, 6] 
(1, 5, -32), [1, 5, 7] 
(1, 5, -31), [1, 5, 8] 
(1, 5, -30), [1, 5, 9] 
(1, 5, -29), [1, 5, 10] 
(1, 5, -28), [1, 5, 11] 
(1, 5, -27), [1, 5, 12] 
(1, 5, -25), [1, 5, 1] 
(1, 5, -24), [1, 5, 2] 
(1, 5, -23), [1, 5, 3] 
(1, 5, -21), [1, 5, 5] 
(1, 5, -20), [1, 5, 6] 
(1, 5, -19), [1, 5, 7] 
(1, 5, -18), [1, 5, 8] 
(1, 5, -17), [1, 5, 9] 
(1, 5, -16), [1, 5, 10] 
(1, 5, -15), [1, 5, 11] 
(1, 5, -14), [1, 5, 12] 
(1, 5, -12), [1, 5, 1] 
(1, 5, -11), [1, 5, 2] 
(1, 5, -10), [1, 5, 3] 
(1, 5, -9), [1, 5, 4] 
(1, 5, -7), [1, 5, 6] 
(1, 5, -6), [1, 5, 7] 
(1, 5, -5), [1, 5, 8] 
(1, 5, -4), [1, 5, 9] 
(1, 5, -3), [1, 5, 10] 
(1, 5, -2), [1, 5, 11] 
(1, 5, -1), [1, 5, 12] 
(1, 5, 1), [1, 5, 1] 
(1, 5, 3), [1, 5, 3] 
(1, 5, 4), [1, 5, 4] 
(1, 5, 5), [1, 5, 5] 
(1, 5, 6), [1, 5, 6] 
(1, 5, 7), [1, 5, 7] 
(1, 5, 8), [1, 5, 8] 
(1, 5, 9), [1, 5, 9] 
(1, 5, 10), [1, 5, 10] 
(1, 5, 11), [1, 5, 11] 
(1, 5, 12), [1, 5, 12] 
(1, 5, 14), [1, 5, 1] 
(1, 5, 15), [1, 5, 2] 
(1, 5, 16), [1, 5, 3] 
(1, 5, 17), [1, 5, 4] 
(1, 5, 18), [1, 5, 5] 
(1, 5, 19), [1, 5, 6] 
(1, 5, 20), [1, 5, 7] 
(1, 5, 21), [1, 5, 8] 
(1, 5, 22), [1, 5, 9] 
(1, 5, 23), [1, 5, 10] 
(1, 5, 24), [1, 5, 11] 
(1, 5, 25), [1, 5, 12] 
(1, 5, 27), [1, 5, 1] 
(1, 5, 28), [1, 5, 2] 
(1, 5, 29), [1, 5, 3] 
(1, 5, 30), [1, 5, 4] 
(1, 5, 31), [1, 5, 5] 
(1, 5, 32), [1, 5, 6] 
(1, 5, 33), [1, 5, 7] 
(1, 5, 34), [1, 5, 8] 
(1, 5, 35), [1, 5, 9] 
(1, 5, 36), [1, 5, 10] 
(1, 5, 37), [1, 5, 11] 
(1, 5, 38), [1, 5, 12] 
(1, 5, 40), [1, 5, 1] 
(1, 5, 41), [1, 5, 2] 
(1, 5, 42), [1, 5, 3] 
(1, 5, 43), [1, 5, 4] 
(1, 5, 44), [1, 5, 5] 
(1, 5, 45), [1, 5, 6] 
(1, 5, 47), [1, 5, 8] 
(1, 5, 48), [1, 5, 9] 
(1, 5, 49), [1, 5, 10] 
(1, 5, 50), [1, 5, 11] 
(1, 5, 51), [1, 5, 12] 
(1, 5, 53), [1, 5, 1] 
(1, 5, 54), [1, 5, 2] 
(1, 5, 55), [1, 5, 3] 
(1, 5, 56), [1, 5, 4] 
(1, 5, 57), [1, 5, 5] 
(1, 5, 59), [1, 5, 7] 
(1, 5, 60), [1, 5, 8] 
(1, 5, 61), [1, 5, 9] 
(1, 5, 62), [1, 5, 10] 
(1, 5, 63), [1, 5, 11] 
(1, 5, 64), [1, 5, 12] 
(1, 5, 66), [1, 5, 1] 
(1, 5, 67), [1, 5, 2] 
(1, 5, 68), [1, 5, 3] 
(1, 5, 69), [1, 5, 4] 
(1, 5, 70), [1, 5, 5] 
(1, 5, 71), [1, 5, 6] 
(1, 5, 72), [1, 5, 7] 
(1, 5, 73), [1, 5, 8] 
(1, 5, 74), [1, 5, 9] 
(1, 5, 75), [1, 5, 10] 
(1, 5, 76), [1, 5, 11] 
(1, 5, 77), [1, 5, 12] 
(1, 5, 79), [1, 5, 1] 
(1, 5, 80), [1, 5, 2] 
(1, 5, 81), [1, 5, 3] 
(1, 5, 83), [1, 5, 5] 
(1, 5, 84), [1, 5, 6] 
(1, 5, 85), [1, 5, 7] 
(1, 5, 86), [1, 5, 8] 
(1, 5, 87), [1, 5, 9] 
(1, 5, 88), [1, 5, 10] 
(1, 5, 89), [1, 5, 11] 
(1, 5, 90), [1, 5, 12] 
(1, 6, -56), [1, 6, 9] 
(1, 6, -54), [1, 6, 11] 
(1, 6, -50), [1, 6, 2] 
(1, 6, -48), [1, 6, 4] 
(1, 6, -46), [1, 6, 6] 
(1, 6, -44), [1, 6, 8] 
(1, 6, -42), [1, 6, 10] 
(1, 6, -40), [1, 6, 12] 
(1, 6, -38), [1, 6, 1] 
(1, 6, -34), [1, 6, 5] 
(1, 6, -32), [1, 6, 7] 
(1, 6, -30), [1, 6, 9] 
(1, 6, -24), [1, 6, 2] 
(1, 6, -22), [1, 6, 4] 
(1, 6, -20), [1, 6, 6] 
(1, 6, -18), [1, 6, 8] 
(1, 6, -16), [1, 6, 10] 
(1, 6, -14), [1, 6, 12] 
(1, 6, -12), [1, 6, 1] 
(1, 6, -10), [1, 6, 3] 
(1, 6, -8), [1, 6, 5] 
(1, 6, -6), [1, 6, 7] 
(1, 6, -4), [1, 6, 9] 
(1, 6, -2), [1, 6, 11] 
(1, 6, 2), [1, 6, 2] 
(1, 6, 4), [1, 6, 4] 
(1, 6, 6), [1, 6, 6] 
(1, 6, 10), [1, 6, 10] 
(1, 6, 12), [1, 6, 12] 
(1, 6, 14), [1, 6, 1] 
(1, 6, 16), [1, 6, 3] 
(1, 6, 18), [1, 6, 5] 
(1, 6, 20), [1, 6, 7] 
(1, 6, 22), [1, 6, 9] 
(1, 6, 24), [1, 6, 11] 
(1, 6, 28), [1, 6, 2] 
(1, 6, 30), [1, 6, 4] 
(1, 6, 32), [1, 6, 6] 
(1, 6, 34), [1, 6, 8] 
(1, 6, 36), [1, 6, 10] 
(1, 6, 38), [1, 6, 12] 
(1, 6, 40), [1, 6, 1] 
(1, 6, 42), [1, 6, 3] 
(1, 6, 44), [1, 6, 5] 
